title,company,location,department,contract_type,remote,sector,publication_date,experience_years,education_level,salaire_min,salaire_max,annual,tools,concepts,job_url,avg_salary,categories
Data Engineer - Paris,Aircall,Paris,75,CDI,Onsite,Technology,2024-12-14,5.0,5.0,,,,"['SQL', 'Python', 'dbt', 'Airflow']",,https://www.hellowork.com/fr-fr/emplois/58273159.html,,['Data Engineer']
Consultant Technique Expert Solutions Power Platform,Konica Minolta,Bordeaux,33,CDI,Hybrid,Technology,2024-12-07,5.0,5.0,,,,"['Power Apps', 'Power Automate', 'Power BI', 'React.js', 'Docker']","['DEVOPS', 'CI/CD']",https://www.hellowork.com/fr-fr/emplois/52523758.html,,['Other']
Informaticien - Data Analyste,Informatis,Paris,75,CDI,Onsite,Technology,2024-12-15,3.0,5.0,,,,"['Sybase', 'SQL Serveur', 'PostgreSQL', 'Business Object', 'Microsoft Power BI']",,https://www.hellowork.com/fr-fr/emplois/58290331.html,,['Data Analyst']
Senior Software Engineer React,Mirakl,Paris,75,CDI,Remote,Technology,2024-11-28,5.0,5.0,,,,"['React 18', 'Typescript', 'React Hook Form', 'Styled Components', 'Jest', 'React Testing Library', 'Babel', 'Webpack', 'TanStack Query']","['SaaS', 'Microservices', 'User Interface', 'User Experience', 'E-Commerce']",https://www.hellowork.com/fr-fr/emplois/58876669.html,,['Other']
Data Engineer,Adentis,Toulouse,31,CDI,Onsite,Technology,2024-12-22,8.0,5.0,43000.0,52000.0,True,"['Python', 'NetCDF', 'Geopackage', 'GRIB', 'Zarr']","['Big Data', 'Data Analysis', 'Data Pipeline', 'Data Modeling', 'Data Storage']",https://www.hellowork.com/fr-fr/emplois/58629274.html,47500.0,['Data Engineer']
Data Analyst,Artefact,Paris,75,CDI,Hybrid,Technology,2024-12-22,1.0,5.0,,,,"['Google Analytics', 'Adobe Analytics', 'SQL', 'Tableau']","['Data Visualization', 'Data Architecture', 'Data Pipelines', 'API Integration']",https://www.hellowork.com/fr-fr/emplois/58611371.html,,['Data Analyst']
Data Scientist - Tabular Data,Klanik,Troyes,10,CDI,Onsite,Technology,2024-12-05,5.0,5.0,,,,"['Python', 'Pandas', 'NumPy', 'Keras', 'PyTorch', 'PyCharm', 'Jupyter', 'Docker', 'Git']","['MLOps', 'Machine Learning', 'Deep Learning', 'Optimization', 'Algorithms']",https://www.hellowork.com/fr-fr/emplois/59172315.html,,['Data Scientist']
Contrôleur de Gestion,Synergie,Orvault,44,CDI,Hybrid,,2024-12-11,7.0,5.0,45000.0,50000.0,True,"['Excel', 'Word', 'PowerPoint', 'Teams', 'Power BI', 'SAP Business Objects']",,https://www.hellowork.com/fr-fr/emplois/53130673.html,47500.0,['Other']
Broadcom Market Analyst,Arrow ECS,Courbevoie,92,CDI,Hybrid,Technology,2024-12-18,,5.0,,,,"['Excel', 'SPSS', 'Tableau']",,https://www.hellowork.com/fr-fr/emplois/55961185.html,,['Other']
AMOA Senior,Extia,Niort,79,CDI,Hybrid,IT,2024-11-23,,5.0,40000.0,60000.0,True,"['SQL', 'Oracle']","['Business Intelligence', 'Datawarehouse']",https://www.hellowork.com/fr-fr/emplois/52354006.html,50000.0,['Other']
Assistant Ménager,Maison et Services,Ille-et-Vilaine,35,CDI,Onsite,,2024-12-20,1.0,2.0,11.88,11.88,False,[],,https://www.hellowork.com/fr-fr/emplois/59740766.html,11.88,['Other']
Tech Lead Data - Cloud Aws,iQanto,Hauts-de-France,,CDI,Hybrid,Technology,2024-11-29,7.0,5.0,,,,"['PySpark', 'Pandas', 'Apache Spark', 'Apache Airflow', 'Apache Hadoop', 'Apache Kafka', 'C++', 'Python', 'APIs', 'Bash scripts', 'Shell scripts', 'Docker', 'GitHub actions', 'Jenkins', 'NoSql', 'SQL', 'Git']","['Data Engineering', 'DEVOPS', 'Cloud Computing', 'MLOPS', 'Data Platform']",https://www.hellowork.com/fr-fr/emplois/58964602.html,,"['Data Engineer', 'Project Manager (Data)']"
Data Engineer Spark Scala - Services Financiers - Ile de France,Sopra Steria,Paris,75,CDI,Hybrid,Technology,2024-12-10,7.0,5.0,,,,"['Spark', 'Scala', 'Informatica', 'Hadoop', 'Kafka']","['DataOps', 'ETL', 'CI/CD', 'Agile', 'Cloud']",https://www.hellowork.com/fr-fr/emplois/59329059.html,,['Data Engineer']
Développeur Fullstack - IA,Biotech Dental,Salon-de-Provence,13,CDI,Onsite,Health,2024-12-18,,5.0,43000.0,45000.0,True,"['Python', 'Django', 'Flask', 'React JS', 'NextJs', 'MySQL', 'MariaDb', 'Git', 'CI/CD']","['Machine Learning', 'Deep Learning']",https://www.hellowork.com/fr-fr/emplois/54689768.html,44000.0,['Data Scientist']
Data Engineer - Analyste Développeur,EURO-INFORMATION DEVELOPPEMENTS,Strasbourg,67,CDI,Hybrid,,2024-12-01,2.0,5.0,33000.0,50000.0,True,"['C#', 'SQL Serveur', 'NOSQL', 'Kibana', 'Kafka']","['Data Management', 'Cognitive Computing', 'Business Intelligence', 'Dashboard Creation', 'ETL']",https://www.hellowork.com/fr-fr/emplois/33257813.html,41500.0,['Data Engineer']
Senior Cloud Engineer,Botify,Paris,75,CDI,Hybrid,,2024-12-20,8.0,5.0,,,,"['AWS', 'GCP', 'Terraform', 'Ansible', 'Docker']","['DEVOPS', 'Infrastructure as Code', 'Cloud Computing', 'Scripting', 'Automation']",https://www.hellowork.com/fr-fr/emplois/59724396.html,,['Other']
Automotive Project Manager,Inetum,Espagne,,CDI,Hybrid,Technology,2024-12-15,7.0,5.0,,,,"['PLC SIEMENS', 'SCADA', 'MES', 'Robótica (ABB)']","['Project Management', 'Automation', 'Manufacturing', 'Machine Learning']",https://www.hellowork.com/fr-fr/emplois/58295010.html,,['Other']
Data Ingénieur,Alteca,Toulouse,31,CDI,Hybrid,Technology,2024-11-24,7.0,5.0,,,,"['Python', 'FastAPI', 'SQLAlchemy', 'Pandas', 'Airflow']","['Data Pipelines', 'Data Models', 'Microservices', 'Agile', 'API']",https://www.hellowork.com/fr-fr/emplois/57444091.html,,['Data Engineer']
Machine Learning Engineer,Wewyse,Paris,75,CDI,Hybrid,Media,2024-12-22,2.0,5.0,,,,"['Python 3', 'AWS', 'GCP', 'Azure', 'Flask', 'Django', 'FastAPI', 'Docker', 'Kubernetes', 'Git']",['MLOps'],https://www.hellowork.com/fr-fr/emplois/40162519.html,,['Data Scientist']
Manager Équipe Relation Entité & Partenaires,Crédit Agricole Group Infrastructure Platform,Rodez,12,CDI,Hybrid,,2024-12-13,5.0,2.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/59482623.html,,['Other']
Ingénieur Data - Bi,Proxiad,Rouen,76,CDI,Hybrid,IT,2024-12-05,3.0,5.0,35000.0,40000.0,True,[],,https://www.hellowork.com/fr-fr/emplois/55393356.html,37500.0,"['Data Engineer', 'Data Analyst']"
Ingénieur Data,Orange Business,Lyon,69,CDI,Hybrid,Technology,2024-11-30,7.0,5.0,,,,"['Splunk', 'Stack Elastic', 'Hadoop', 'Spark', 'Kafka', 'Nifi', 'GCP', 'Azure', 'AWS']","['Big Data', 'Cloud Data', 'DEVOPS', 'Agile', 'Data Engineering']",https://www.hellowork.com/fr-fr/emplois/48279483.html,,['Data Engineer']
Data Analyst,Assystem,Courbevoie,92,CDI,Hybrid,,2024-12-19,5.0,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/58470416.html,,['Data Analyst']
Dataops Engineer,Inetum,Espagne,,CDI,Hybrid,Technology,2024-12-20,7.0,5.0,,,,"['Spark on Scala', 'CI/CD tools (Gitlab, Jenkins...)', 'HDFS', 'SQL', 'Apache Airflow', 'Kafka', 'S3 storage', 'Shell script', 'Kubernetes', 'Elasticsearch', 'Kibana', 'HVault', 'Dremio', 'Dataiku']","['CI/CD', 'Data engineering', 'Data transformation', 'Data quality', 'Data modeling']",https://www.hellowork.com/fr-fr/emplois/59773080.html,,['Data Engineer']
Manager - Senior Manager Data Science,KPMG,Courbevoie,92,CDI,Hybrid,Technology,2024-12-06,6.0,5.0,,,,[],"['Data Science', 'Big Data', 'Data Analytics', 'Machine Learning', 'Data Visualization']",https://www.hellowork.com/fr-fr/emplois/51235828.html,,['Data Scientist']
Data Consultant,Apside,Bordeaux,33,CDI,Hybrid,Technology,2024-11-28,5.0,5.0,,,,"['Python', 'Databricks']","['Data Engineering', 'Big Data', 'Data Processing', 'Collaboration', 'Documentation']",https://www.hellowork.com/fr-fr/emplois/58871447.html,,"['Data Governance & Quality', 'Data Analyst']"
Consultant Expérimenté Projets de Transformation Finance - Secteur Banque,EY,La Défense,92,CDI,Hybrid,,2024-12-04,2.0,5.0,,,,"['Blackline', 'SAP S4HANA', 'Oracle ECC6', 'Oracle Fusion', 'Anaplan']","['Financial Close', 'Transformation', 'Business Intelligence', 'RPA', 'Data Analytics']",https://www.hellowork.com/fr-fr/emplois/59145728.html,,['Other']
Contrôleur de Gestion,360Ressources,Étupes,25,CDI,Onsite,,2024-12-19,7.0,5.0,48000.0,58000.0,True,"['Pack Office', 'Excel', 'Business Intelligence', 'MyReport', 'ERP']",,https://www.hellowork.com/fr-fr/emplois/59700263.html,53000.0,['Other']
Senior Consultant DevOps,Breople,Île-de-France,,CDI,Hybrid,Technology,2024-12-02,7.0,5.0,40000.0,55000.0,True,"['MS SQL Server', 'SSIS', 'Azure DEVOPS']","['DevOps', 'Infrastructure', 'Monitoring', 'Automation', 'Performance Measurement']",https://www.hellowork.com/fr-fr/emplois/59041518.html,47500.0,['Other']
Business Manager IT - Ingénieur d'Affaires IT,Ekkiden,Paris,75,CDI,Hybrid,Technology,2024-12-15,1.0,5.0,,,,['Hubspot'],,https://www.hellowork.com/fr-fr/emplois/55847458.html,,['Other']
Chargé de Clientèle - Thiais,Kiloutou,Thiais,94,CDI,Hybrid,,2024-12-05,7.0,2.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/55399194.html,,['Other']
Analyste Quantitatif Expérimenté Expert Quant Marché,EY,La Défense,92,CDI,Hybrid,,2024-12-09,3.0,5.0,,,,[],['Machine Learning'],https://www.hellowork.com/fr-fr/emplois/56844742.html,,"['Data Analyst', 'Data Scientist']"
Analyste Bi,LEA,Marseille,13,CDI,Hybrid,Technology,2024-12-06,5.0,5.0,38000.0,47000.0,True,"['SQL', 'ETL', 'Superset', 'Python', 'Salesforce']","['Business Intelligence', 'Data Warehousing', 'Data Visualization', 'ETL Processes', 'Data Quality']",https://www.hellowork.com/fr-fr/emplois/59221631.html,42500.0,['Data Analyst']
Consultant Études de Marché - Market Research Études Clients Sofrecom,Orange,Châtillon,92,CDI,Hybrid,Telecommunications,2024-12-04,2.0,5.0,,,,['Microsoft Suite'],,https://www.hellowork.com/fr-fr/emplois/59149477.html,,['Other']
Data Scientist,Cougnaud Construction,La Roche-sur-Yon,85,CDI,Onsite,Construction,2024-11-28,1.0,5.0,,,,"['BO', 'SAP', 'CRM', 'Python', 'R', 'SQL']","['Data Science', 'Statistics', 'Data Analysis']",https://www.hellowork.com/fr-fr/emplois/58854621.html,,['Data Scientist']
Ingénieur Intégration Progiciel ERP - CRM,Kompass Integrated Solutions Inc,Toulouse,31,CDI,Hybrid,Technology,2024-12-18,7.0,5.0,40000.0,55000.0,True,"['Power BI', 'SQL', '.Net Core', 'C#', 'Office 365', 'PowerApps', 'Azure']","['Business Intelligence', 'Cloud Computing', 'ERP', 'CRM']",https://www.hellowork.com/fr-fr/emplois/57199629.html,47500.0,['Other']
Data Engineer Confirmé Bi,Inetum,Orléans,45,CDI,Hybrid,Technology,2024-12-22,7.0,5.0,35000.0,50000.0,True,"['SQL', 'Transact SQL', 'SSRS', 'Power BI']","['Data Modeling', 'Reporting', 'Agile']",https://www.hellowork.com/fr-fr/emplois/58628913.html,42500.0,['Data Engineer']
Java Kotlin Developer,Malt,France,,CDI,Remote,,2024-11-28,4.0,5.0,,,,"['Java', 'Kotlin', 'Spring Boot', 'Gradle', 'PostgreSQL', 'MongoDB', 'Elasticsearch', 'RabbitMQ', 'Redis', 'Google Cloud Platform', 'Kubernetes', 'Terraform', 'ArgoCD', 'Gitlab CI', 'Swift', 'Python']","['CI/CD', 'API design', 'Data modelling', 'Clean code', 'Software development life cycle']",https://www.hellowork.com/fr-fr/emplois/58854217.html,,['Other']
Administration Technique des Outils Bi - Business Intelligence,Fédération Hospitalière de France,Brest,29,CDD,Onsite,Health,2024-12-09,1.0,5.0,,,,"['BO Business Objects', 'POWER BI', 'ORACLE', 'MySQL', 'SQL SERVER']",,https://www.hellowork.com/fr-fr/emplois/58097898.html,,['Data Analyst']
Business Analyst Data,CGI,Le Havre,76,CDI,Hybrid,Technology,2024-12-13,7.0,5.0,,,,['PowerBI'],,https://www.hellowork.com/fr-fr/emplois/58219447.html,,"['Data Analyst', 'Project Manager (Data)']"
Expert IA,Synchrone,Bouches-du-Rhône,13,CDI,Hybrid,Technology,2024-12-13,6.0,5.0,,,,"['Python', 'TensorFlow', 'PyTorch', 'Scikit-learn', 'AWS']","['Machine Learning', 'Deep Learning', 'NLP', 'Computer Vision', 'MLOPS']",https://www.hellowork.com/fr-fr/emplois/59462453.html,,['Data Scientist']
Data Scientist Spécialisé en Computer Vision Nlp et Llm,Groupe Covéa,Paris,75,CDD,Hybrid,,2024-12-17,2.0,5.0,2300.0,2300.0,True,['Azure Databricks'],"['Computer Vision', 'NLP', 'LLM', 'Machine Learning', 'Deep Learning']",https://www.hellowork.com/fr-fr/emplois/58399171.html,2300.0,['Data Scientist']
Data Engineer - Product Owner,Up Skills Search,Lyon,69,CDI,Hybrid,,2024-12-20,7.0,5.0,,,,"['Asana', 'Git', 'Denodo', 'SQL', 'Power Automate', 'PowerBI', 'PowerShell', 'Batch', 'Python', 'SQL Server', 'PostgreSQL', 'SAP', 'MySQL', 'Microsoft Dynamics', 'Abbot StarLIMS']","['Data Engineering', 'Product Ownership', 'Data Mesh', 'Agile', 'Digital Transformation']",https://www.hellowork.com/fr-fr/emplois/59752929.html,,"['Data Engineer', 'Project Manager (Data)']"
Senior Product Manager - Partner Integration,Deezer,Paris,75,CDI,Hybrid,Media,2024-12-22,5.0,5.0,,,,"['analysis tools', 'user experience tools', 'product analytics']","['B2B', 'SaaS', 'API', 'music industry']",https://www.hellowork.com/fr-fr/emplois/58611527.html,,['Other']
Analyste Audit IT & Data,PwC,Montpellier,34,CDI,Hybrid,Technology,2024-12-16,,5.0,,,,"['Alteryx', 'Tableau', 'Power BI', 'ACE', 'Optics']","['audit', 'Data acquisition', 'automatisation', 'IA', 'datavisualisation']",https://www.hellowork.com/fr-fr/emplois/58342728.html,,"['Data Analyst', 'Data Governance & Quality']"
Manufacturing Quality Engineer,Lenovo France,Léon,40,CDI,Onsite,Technology,2024-12-20,,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/58536237.html,,['Other']
Analyste Quantitatif Expérimenté Expert Traded Risk,EY,La Défense,92,CDI,Hybrid,,2024-12-09,3.0,5.0,,,,[],"['Risk Management', 'Market Risk', 'Credit Risk', 'Financial Instruments', 'Machine Learning']",https://www.hellowork.com/fr-fr/emplois/56844785.html,,"['Data Analyst', 'Other']"
Consultant Data,Consort Group,Paris,75,CDI,Onsite,,2024-12-02,1.0,5.0,,,,"['Python', 'R', 'SQL']",,https://www.hellowork.com/fr-fr/emplois/59036732.html,,['Data Governance & Quality']
Chargé de Marketing CRM,Avril Nutrition Animale,Bruz,35,CDI,Hybrid,Agriculture,2024-12-21,1.0,5.0,,,,"['CRM', 'Outils statistiques', 'Suite Office', 'Gestion de bases de données', 'Outils décisionnels']","['Marketing CRM', 'Analyse de données']",https://www.hellowork.com/fr-fr/emplois/58552608.html,,['Other']
Rust Engineer Senior,Iliad,Paris,75,CDI,Hybrid,Technology,2024-12-20,,5.0,,,,['Rust'],,https://www.hellowork.com/fr-fr/emplois/58481499.html,,['Other']
Opérateur de Production,Saint Gobain,Rennes,35,CDD,Onsite,Construction,2024-12-05,,2.0,1900.0,2100.0,False,"['scie', 'plaqueuse', 'commande numérique']",,https://www.hellowork.com/fr-fr/emplois/59177597.html,2000.0,['Other']
Senior Consultant Data et Transformation Digitale,Thales,Vélizy-Villacoublay,78,CDI,Hybrid,,2024-11-27,5.0,5.0,,,,"['Cloud', 'DEVOPS', 'agile methodologies', 'Data Management']","['Data governance', 'Digital transformation', 'Data architecture']",https://www.hellowork.com/fr-fr/emplois/52485179.html,,"['Data Governance & Quality', 'Project Manager (Data)']"
Ingénieur Data,PMU,Paris,75,CDI,Hybrid,Technology,2024-12-20,7.0,5.0,,,,"['Spark', 'Scala', 'Python', 'SQL', 'AWS', 'Dataiku', 'Kafka', 'Airflow', 'GITLAB', 'JIRA', 'Terraform']","['Data Engineering', 'Cloud Computing', 'Data Pipeline', 'Data Science', 'CI/CD']",https://www.hellowork.com/fr-fr/emplois/59731659.html,,['Data Engineer']
Tech Lead Data,ENGIE,Bagneux,92,CDI,Onsite,Energy,2024-12-01,7.0,5.0,,,,"['Teradata', 'Informatica', 'Tableau', 'Power BI', 'Databricks', 'Spark', 'S3', 'Glue', 'Athena', 'AWS Lambda', 'TiDB']","['Data Engineering', 'Big Data', 'AI Generative', 'Data Warehouse', 'CI/CD']",https://www.hellowork.com/fr-fr/emplois/51087318.html,,"['Data Engineer', 'Project Manager (Data)']"
Data Scientist Informatique Quantique,EURO-INFORMATION DEVELOPPEMENTS,Orléans,45,CDI,Hybrid,,2024-12-08,2.0,5.0,35000.0,50000.0,True,['Python'],"['Quantum Machine Learning', 'Machine Learning']",https://www.hellowork.com/fr-fr/emplois/58024939.html,42500.0,['Data Scientist']
Concepteur Informatique DevOps,LCL,Villejuif,94,CDI,Onsite,,2024-12-15,,2.0,,,,"['GIT', 'SONARQUBE', 'JFROG Artifactory', 'JENKINS']",['CI/CD'],https://www.hellowork.com/fr-fr/emplois/58286617.html,,['Other']
Business Manager IT - Ingénieur d'Affaires IT,Ekkiden,Lyon,69,CDI,Hybrid,Technology,2024-12-15,1.0,5.0,,,,['Hubspot'],,https://www.hellowork.com/fr-fr/emplois/55847415.html,,['Other']
Ingénieur Data Talend,Randstad,Marseille,13,CDI,Onsite,Construction,2024-12-05,7.0,5.0,45000.0,52000.0,True,"['Talend', 'Oracle', 'MongoDb']",,https://www.hellowork.com/fr-fr/emplois/59156635.html,48500.0,['Data Engineer']
Business Analyst Gestion Actif - Passif,Apside,Paris,75,CDI,Hybrid,Technology,2024-12-09,7.0,5.0,,,,['SQL'],"['ALM', 'Agile']",https://www.hellowork.com/fr-fr/emplois/59292734.html,,['Other']
Post-Doctoral Position on The Social Appropriation Of Scientific Knowledge For The Management Of Marine And Coastal Socio-Ecosystems,Ifremer,Plouzané,29,CDD,Hybrid,Environment,2024-12-18,1.0,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/59657310.html,,['Other']
Consultant - Manager Achats - Supply Chain,Eosium,Levallois-Perret,92,CDI,Hybrid,,2024-11-23,3.0,5.0,,,,"['SAP', 'Oracle', 'ACTEOS', 'GENERIX', 'HARDIS']","['Supply Chain', 'Transformation', 'Automation', 'Project Management', 'Consulting']",https://www.hellowork.com/fr-fr/emplois/57418038.html,,['Other']
Manager - Sénior Manager Business Strategy Retail et Consumer Product,Deloitte,Paris,75,CDI,Hybrid,,2024-12-19,6.0,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/59709940.html,,['Other']
Ingénieur MLOps,Activus Group,Toulouse,31,CDI,Onsite,Technology,2024-12-22,5.0,5.0,35000.0,45000.0,True,"['MLFlow', 'DVC', 'Docker', 'Kubernetes', 'LangChain']","['MLOps', 'CI/CD', 'Machine Learning', 'AI', 'Data Engineering']",https://www.hellowork.com/fr-fr/emplois/57300160.html,40000.0,"['Data Scientist', 'Data Engineer']"
Data Analyst Senior,Barrière,Paris,75,CDI,Hybrid,Tourism,2024-12-07,3.0,5.0,55000.0,60000.0,True,"['Python', 'Pandas', 'Dash', 'Sklearn', 'PowerBI']","['Data Analysis', 'Cloud', 'CI/CD', 'Business Intelligence', 'Marketing']",https://www.hellowork.com/fr-fr/emplois/53033271.html,57500.0,['Data Analyst']
Manager Expérimenté IA,PwC,Neuilly-sur-Seine,92,CDI,Hybrid,Technology,2024-12-20,6.0,,,,,"['Python', 'SQL', 'Langchain', 'Chroma', 'FAISS']","['Machine Learning', 'NLP', 'Deep Learning', 'LLM', 'MLOPS']",https://www.hellowork.com/fr-fr/emplois/59731166.html,,['Data Scientist']
Data Analyst,Fnac Darty,France,,CDI,Hybrid,Commerce,2024-12-16,5.0,5.0,,,,"['SQL', 'Power BI', 'Microstrategy', 'QlikView']",,https://www.hellowork.com/fr-fr/emplois/57080043.html,,['Data Analyst']
Ingénieur Data Expert Talend,Thales,Vélizy-Villacoublay,78,CDI,Hybrid,Technology,2024-12-07,3.0,5.0,,,,"['Talend', 'Hadoop']",['Big Data'],https://www.hellowork.com/fr-fr/emplois/55460694.html,,['Data Engineer']
Lead Tech MLOps,Scalian,Paris,75,CDI,Hybrid,Technology,2024-11-25,7.0,5.0,60000.0,70000.0,True,"['MLflow', 'Kubeflow', 'Docker', 'Kubernetes', 'Jenkins']","['MLOps', 'Machine Learning', 'Data Engineering', 'CI/CD', 'Big Data']",https://www.hellowork.com/fr-fr/emplois/58750429.html,65000.0,"['Data Scientist', 'Data Engineer']"
Consultant en Systèmes d'Information,Hardis Group,Lyon,69,CDI,Hybrid,Technology,2024-12-11,1.0,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/55628355.html,,['Other']
Global Senior Market Insight Manager,BIC,Clichy,92,CDI,Hybrid,Manufacturing,2024-12-17,8.0,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/57159313.html,,['Other']
Senior Data Engineer,Capgemini,Biot,06,CDI,Hybrid,,2024-12-12,6.0,5.0,48000.0,52000.0,True,"['Spark', 'Python', 'Scala']","['Data Engineering', 'ETL', 'Machine Learning']",https://www.hellowork.com/fr-fr/emplois/59427095.html,50000.0,['Data Engineer']
Growth Engineer - Marketing Team,Pennylane,Paris,75,CDI,Hybrid,Technology,2024-11-26,2.0,5.0,,,,"['Rails', 'JavaScript', 'Vue JS', 'Nuxt JS', 'PostgreSQL', 'Git', 'Github']","['Data Visualization', 'Digital Marketing']",https://www.hellowork.com/fr-fr/emplois/58760729.html,,['Other']
Data Senior Officer,Amundi,Luxembourg,,CDI,Onsite,,2024-12-09,,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/58031895.html,,"['Data Governance & Quality', 'Project Manager (Data)']"
Data Analyst,Apside,Sophia-Antipolis,06,CDI,Hybrid,Technology,2024-12-22,7.0,5.0,,,,"['Excel', 'Power BI', 'Qlik']",,https://www.hellowork.com/fr-fr/emplois/45191427.html,,['Data Analyst']
Responsable Performance Télécom,Sade Telecom,Loriol-sur-Drôme,26,CDI,Onsite,Telecommunications,2024-12-12,,5.0,,,,"['Excel', 'Power BI']",,https://www.hellowork.com/fr-fr/emplois/59423732.html,,['Other']
Sales Analyst & Support - Fashion,veepee_france,Saint-Denis,93,CDD,Hybrid,Commerce,2024-12-05,7.0,5.0,,,,"['Google Apps', 'Pack Office', 'Excel']",,https://www.hellowork.com/fr-fr/emplois/59189221.html,,['Other']
Reporting Specialist,Würth France,Erstein,67,CDI,Onsite,Commerce,2024-12-19,1.0,2.0,,,,"['Qlik Sense', 'Power BI', 'Tableau']",,https://www.hellowork.com/fr-fr/emplois/59719697.html,,['Data Analyst']
Contrôleur de Gestion Opérationnel,Réseau Primever France,Agen,47,CDI,Onsite,Transport,2024-12-14,2.0,4.0,35000.0,47500.0,True,"['Myreport', 'BusinessObjects']",,https://www.hellowork.com/fr-fr/emplois/59498197.html,41250.0,[]
Data Scientist,BNP Paribas,Nantes,44,CDI,Hybrid,,2024-12-20,2.0,5.0,,,,"['Python', 'SQL', 'Spark', 'Gitlab', 'Sonarqube']","['MLOPS', 'NLP', 'Machine Learning', 'Generative AI', 'OCR']",https://www.hellowork.com/fr-fr/emplois/59752924.html,,['Data Scientist']
Directeur Associé Affaires Publiques,Coca-Cola Europacific Partners,Issy-les-Moulineaux,92,CDI,Hybrid,Agro-food,2024-12-12,,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/59449881.html,,['Other']
Data Analyst Senior,Orange Business,Nantes,44,CDI,Hybrid,Technology,2024-11-30,7.0,5.0,,,,[],,https://www.hellowork.com/fr-fr/emplois/48279667.html,,['Data Analyst']
Lead Data Edtech,LA RELÈVE,Paris,75,CDI,Hybrid,,2024-11-30,3.0,,60000.0,75000.0,True,"['Airbyte', 'BigQuery', 'DBT', 'Hightouch', 'Google Tag Manager']","['Data Engineering', 'Business Intelligence', 'GDPR', 'Monitoring', 'Data Marketing']",https://www.hellowork.com/fr-fr/emplois/57713353.html,67500.0,[]
